migration_id,media_type,old_path,new_path,action,database_record_status,original_filename
S8-MEDIA-001,image,assets/application/epilogue-user-image.png,assets/images/scenes/epilogue-user-image.png,move_without_content_change,pending_step_9,epilogue-user-image.png
S8-MEDIA-002,image,assets/application/panel1.png,assets/images/scenes/scene-panel-01.png,move_without_content_change,pending_step_9,panel1.png
S8-MEDIA-003,image,assets/application/panel2.png,assets/images/scenes/scene-panel-02.png,move_without_content_change,pending_step_9,panel2.png
S8-MEDIA-004,image,assets/application/panel3.png,assets/images/scenes/scene-panel-03.png,move_without_content_change,pending_step_9,panel3.png
S8-MEDIA-005,image,assets/application/panel4.png,assets/images/scenes/scene-panel-04.png,move_without_content_change,pending_step_9,panel4.png
S8-MEDIA-006,image,assets/application/panel5.png,assets/images/scenes/scene-panel-05.png,move_without_content_change,pending_step_9,panel5.png
S8-MEDIA-007,image,assets/craft/1.png,assets/images/crafts/craft-step-01.png,move_without_content_change,pending_step_9,1.png
S8-MEDIA-008,image,assets/craft/2.png,assets/images/crafts/craft-step-02.png,move_without_content_change,pending_step_9,2.png
S8-MEDIA-009,image,assets/craft/3.png,assets/images/crafts/craft-step-03.png,move_without_content_change,pending_step_9,3.png
S8-MEDIA-010,image,assets/craft/4.png,assets/images/crafts/craft-step-04.png,move_without_content_change,pending_step_9,4.png
S8-MEDIA-011,image,assets/craft/5.png,assets/images/crafts/craft-step-05.png,move_without_content_change,pending_step_9,5.png
S8-MEDIA-012,image,assets/craft/6.png,assets/images/crafts/craft-step-06.png,move_without_content_change,pending_step_9,6.png
S8-MEDIA-013,image,assets/craft/7.png,assets/images/crafts/craft-step-07.png,move_without_content_change,pending_step_9,7.png
S8-MEDIA-014,image,assets/craft/8.png,assets/images/crafts/craft-step-08.png,move_without_content_change,pending_step_9,8.png
S8-MEDIA-015,image,assets/craft/9.png,assets/images/crafts/craft-step-09.png,move_without_content_change,pending_step_9,9.png
S8-MEDIA-016,image,assets/craft/10.png,assets/images/crafts/craft-step-10.png,move_without_content_change,pending_step_9,10.png
S8-MEDIA-017,image,assets/craft/11.png,assets/images/crafts/craft-step-11.png,move_without_content_change,pending_step_9,11.png
S8-MEDIA-018,image,assets/craft/12.png,assets/images/crafts/craft-step-12.png,move_without_content_change,pending_step_9,12.png
S8-MEDIA-019,image,assets/history/history-xiqin.jpeg,assets/images/history/history-xiqin.jpeg,move_without_content_change,pending_step_9,history-xiqin.jpeg
S8-MEDIA-020,image,assets/history/history-huobusi.jpeg,assets/images/history/history-huobisi.jpeg,move_without_content_change,pending_step_9,history-huobusi.jpeg
S8-MEDIA-021,image,assets/history/history-mawei.jpeg,assets/images/history/history-mawei-huqin.jpeg,move_without_content_change,pending_step_9,history-mawei.jpeg
S8-MEDIA-022,image,assets/history/history-chaoer.jpeg,assets/images/history/history-chaoer.jpeg,move_without_content_change,pending_step_9,history-chaoer.jpeg
S8-MEDIA-023,image,assets/history/history-modern.jpeg,assets/images/history/history-modern.jpeg,move_without_content_change,pending_step_9,history-modern.jpeg
S8-MEDIA-024,image,assets/history/history-slide1.png,assets/images/history/history-overview.png,move_without_content_change,pending_step_9,history-slide1.png
S8-MEDIA-025,image,assets/history/history-ppt-1.png,assets/images/history/history-mawei-huqin.jpeg,remove_exact_duplicate_after_reference_update,pending_step_9,history-ppt-1.png
S8-MEDIA-026,image,assets/history/history-ppt-2.png,assets/images/history/history-modern.jpeg,remove_exact_duplicate_after_reference_update,pending_step_9,history-ppt-2.png
S8-MEDIA-027,image,assets/images/matouqin.png,assets/images/instruments/exhibition-hero.png,move_without_content_change,pending_step_9,matouqin.png
S8-MEDIA-028,image,assets/images/琴2.png,assets/images/instruments/section-background.png,move_without_content_change,pending_step_9,琴2.png
S8-MEDIA-029,image,assets/instrument-types/cover_001.png,assets/images/instruments/traditional-skin.png,move_without_content_change,pending_step_9,cover_001.png
S8-MEDIA-030,image,assets/instrument-types/传统素面马头琴.png,assets/images/instruments/plain-traditional.png,move_without_content_change,pending_step_9,传统素面马头琴.png
S8-MEDIA-031,image,assets/instrument-types/现代改良马头琴.png,assets/images/instruments/modern-wood.png,move_without_content_change,pending_step_9,现代改良马头琴.png
S8-MEDIA-032,image,assets/instrument-types/龙首装饰彩绘马头琴样本.png,assets/images/instruments/dragon-painted.png,move_without_content_change,pending_step_9,龙首装饰彩绘马头琴样本.png
S8-MEDIA-033,image,assets/instrument-types/cover_012.png,assets/images/instruments/rosewood-deluxe.png,move_without_content_change,pending_step_9,cover_012.png
S8-MEDIA-034,image,assets/materials/五角桐.png,assets/images/materials-tools/material-01.png,move_without_content_change,pending_step_9,五角桐.png
S8-MEDIA-035,image,assets/materials/泡桐.png,assets/images/materials-tools/material-02.png,move_without_content_change,pending_step_9,泡桐.png
S8-MEDIA-036,image,assets/materials/鱼鳞云杉.png,assets/images/materials-tools/material-03.png,move_without_content_change,pending_step_9,鱼鳞云杉.png
S8-MEDIA-037,image,assets/materials/松木.png,assets/images/materials-tools/material-04.png,move_without_content_change,pending_step_9,松木.png
S8-MEDIA-038,image,assets/materials/柳木.png,assets/images/materials-tools/material-05.png,move_without_content_change,pending_step_9,柳木.png
S8-MEDIA-039,image,assets/music-classification/tatleger.png,assets/images/music/tatleger.png,move_without_content_change,pending_step_9,tatleger.png
S8-MEDIA-040,image,assets/music-classification/asar.png,assets/images/music/asar.png,move_without_content_change,pending_step_9,asar.png
S8-MEDIA-041,image,assets/music-classification/longsong.png,assets/images/music/longsong.png,move_without_content_change,pending_step_9,longsong.png
S8-MEDIA-042,image,assets/music-classification/shortsong.png,assets/images/music/shortsong.png,move_without_content_change,pending_step_9,shortsong.png
S8-MEDIA-043,image,assets/music-classification/epic.png,assets/images/music/epic.png,move_without_content_change,pending_step_9,epic.png
S8-MEDIA-044,image,assets/nav-icons/马头琴结构.png,assets/images/interface/navigation/anatomy.png,move_without_content_change,pending_step_9,马头琴结构.png
S8-MEDIA-045,image,assets/nav-icons/马头琴样本.png,assets/images/interface/navigation/instrument-types.png,move_without_content_change,pending_step_9,马头琴样本.png
S8-MEDIA-046,image,assets/nav-icons/马头琴纹样.png,assets/images/interface/navigation/patterns.png,move_without_content_change,pending_step_9,马头琴纹样.png
S8-MEDIA-047,image,assets/nav-icons/历史脉络.png,assets/images/interface/navigation/history.png,move_without_content_change,pending_step_9,历史脉络.png
S8-MEDIA-048,image,assets/nav-icons/文化与故事.png,assets/images/interface/navigation/culture.png,move_without_content_change,pending_step_9,文化与故事.png
S8-MEDIA-049,image,assets/nav-icons/音乐分类.png,assets/images/interface/navigation/music.png,move_without_content_change,pending_step_9,音乐分类.png
S8-MEDIA-050,image,assets/nav-icons/制作工艺.png,assets/images/interface/navigation/craftsmanship.png,move_without_content_change,pending_step_9,制作工艺.png
S8-MEDIA-051,image,assets/nav-icons/演奏.png,assets/images/interface/navigation/performance.png,move_without_content_change,pending_step_9,演奏.png
S8-MEDIA-052,image,assets/nav-icons/传承与发展.png,assets/images/interface/navigation/heritage.png,move_without_content_change,pending_step_9,传承与发展.png
S8-MEDIA-053,image,assets/nav-icons/应用场景.png,assets/images/interface/navigation/scenes.png,move_without_content_change,pending_step_9,应用场景.png
S8-MEDIA-054,image,assets/patterns/寿字纹.png,assets/images/patterns/pattern-01.png,move_without_content_change,pending_step_9,寿字纹.png
S8-MEDIA-055,image,assets/patterns/云纹.png,assets/images/patterns/pattern-02.png,move_without_content_change,pending_step_9,云纹.png
